[12:01:55] [info] Shaddock: Creating window Shaddock Editor (1280, 720)
[12:01:56] [info] Shaddock: OpenGL Information:
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:03] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:04] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:05] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 50
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:06] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 50
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 50
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:07] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 50
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:08] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:09] [warning] Shaddock: PixelData = 1036831949
[12:02:10] [warning] Shaddock: PixelData = 1036831949
[12:02:10] [warning] Shaddock: PixelData = 1036831949
[12:02:10] [warning] Shaddock: PixelData = 1036831949
[12:02:10] [warning] Shaddock: PixelData = 1036831949
[12:02:10] [warning] Shaddock: PixelData = 1036831949
[12:02:10] [warning] Shaddock: PixelData = 1036831949
[12:02:10] [warning] Shaddock: PixelData = 1036831949
[12:02:10] [warning] Shaddock: PixelData = 1036831949
[12:02:10] [warning] Shaddock: PixelData = 1036831949
[12:02:10] [warning] Shaddock: PixelData = 1036831949
[12:02:10] [warning] Shaddock: PixelData = 1036831949
[12:02:10] [warning] Shaddock: PixelData = 1036831949
[12:02:10] [warning] Shaddock: PixelData = 1036831949
[12:02:10] [warning] Shaddock: PixelData = 1036831949
[12:02:10] [warning] Shaddock: PixelData = 1036831949
[12:02:10] [warning] Shaddock: PixelData = 1036831949
[12:02:10] [warning] Shaddock: PixelData = 1036831949
[12:02:10] [warning] Shaddock: PixelData = 1036831949
[12:02:10] [warning] Shaddock: PixelData = 1036831949
[12:02:10] [warning] Shaddock: PixelData = 1036831949
[12:02:10] [warning] Shaddock: PixelData = 1036831949
